Record Indicator,Trade Time,Trade Price,Trade Quantity,Buy Order Number,Sell Order Number
RM,2021-01-20 10:34:05.955001856,15545,100,2D745A6E49835A0875DA2A959FEAE49D,830E8FBE7737E3D197DF12A01877152B
RM,2021-01-20 10:34:05.955017216,15545,169,B8EE0E361B39D1D5760CE7D361A430B4,830E8FBE7737E3D197DF12A01877152B
RM,2021-01-20 10:34:05.955032320,15540,79,9DB2C25891CC969E240C279BF645D86B,830E8FBE7737E3D197DF12A01877152B
RM,2021-01-20 10:34:05.955047680,15520,40,B40CDFEDA9466415EBABB015975DADB3,830E8FBE7737E3D197DF12A01877152B
RM,2021-01-20 10:34:05.955200256,15585,1,AFE5AAAA4B9B3BFF12BE3CC678A31585,19EC6B000476C6965B76341A1B7CA240
RM,2021-01-20 10:34:08.007461632,15600,1,8696DB8A588E33E478458251542C9214,54A348504B7C052D54473A4734EB4CA6
RM,2021-01-20 10:34:08.007476736,15605,14,8696DB8A588E33E478458251542C9214,CEC2678B2F95EA6F33DFE07D878E695E
RM,2021-01-20 10:34:08.007660032,15600,1,31FE60C7FA19FB3FCDF183D87E79A940,08816C1D532939AFE1907DB807CBB3C2
RM,2021-01-20 10:34:08.008468736,15605,1,D03E57280E756659A49993762FB326C5,CEC2678B2F95EA6F33DFE07D878E695E
RM,2021-01-20 10:34:13.472930816,15615,9,365A1C52A5965C2710AB1A0A1719AD00,14C833FEEAF261DCF66BC4916575219E
RM,2021-01-20 10:37:07.454681344,15600,60,BCAD3F40B2C53FB22659BA739F1B9AD8,16EADBF38448D9B8F1B17373A2DE494B
RM,2021-01-20 10:38:48.897140480,15595,11,F715E0F99ACCC18CA94923014ACB86AB,F4C46027F7EF092A70F5404F058874D6
RM,2021-01-20 10:39:32.655303936,15600,15,C0BAD262F5E80E250D05C614789A3619,6B1E43D2FD45FDA8EB5C75F2CC9502EC
RM,2021-01-20 10:44:09.233825792,15600,16,8038F396E772BE5AC8B30EB7418369F3,6B1E43D2FD45FDA8EB5C75F2CC9502EC
